Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage,CPU Rank,Graphic Card Rank,RAM Rank,Weight Rank,Color Rank,Brand Rank,Operating System Rank,Memory Speed Rank,Screen Size Rank,Storage Rank
Lenovo Ideapad Duet 5 12Iru8,1.0,Shared,FreeDos,16,Intel Core i7,12.4,4266,Grey,lenovo,45360,512,3,1,4,3,3,3,4,3,3,3
Xiaomi Redmibook 15E,1.0,Intel Iris Xe Graphics,Windows 11 Home,16,Intel Core i7,15.6,3200,Grey,xiaomi,21649,512,2,4,2,2,3,3,3,4,2,3
Acer Nitro V15 Anv15,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,5200,Black,acer,32278,512,3,4,2,2,2,3,5,5,1,1
Dell Vostro 15 3530,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,2666,Grey,dell,29199,1024,4,1,2,3,3,3,2,3,4,2
Lenovo Loq,3.0,Nvidia GeForce RTX 4060,FreeDos,24,AMD Ryzen 7,15.6,4800,Grey,lenovo,46999,512,2,4,2,1,4,3,4,5,3,3
Erazer Deputy P60,3.0,Nvidia GeForce RTX 4070,Windows 11 Home,16,Intel Core i7,15.6,3200,Dark Grey,erazer,54399,1024,4,3,2,3,4,3,3,3,3,3
Hp Victus 16 S1003Nt,3.0,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,16.1,5600,Blue,hp,70999,1024,4,3,2,2,5,3,4,5,4,3
Casper Excalibur G770 1265,2.5,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Black,casper,32499,512,3,2,2,3,4,3,2,4,3,3
Hp Omen 17 Db0019Nt,3.0,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,17.3,5600,Black,hp,65999,1024,3,3,3,2,4,1,3,2,3,4
Hp Victus Gaming Laptop 16 S1031Nt,3.0,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 5,16.1,5600,Blue,hp,37599,512,3,3,3,2,3,3,2,4,4,3
Casper Excalibur G770 1265,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i7,15.6,3200,Black,casper,34099,512,3,3,4,2,2,2,4,3,3,1
Asus Rog Strix Scar 18 G835Lw,3.0,Nvidia GeForce RTX 5080,FreeDos,64,Intel Core Ultra 9,18.0,5600,Black,asus,194999,2048,1,2,3,2,4,1,3,2,3,2
Hp Elitebook 640 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,14.0,3200,Silver,hp,34500,512,3,3,2,3,4,4,4,5,3,3
Asus Rog Strix G16 G614Ju,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,16.0,4800,Grey,asus,59999,512,3,3,3,3,3,4,4,3,4,3
Hp 15S Eq2000Nt,1.5,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 7,15.6,3200,Silver,hp,19499,1024,3,4,3,3,3,3,3,4,3,3
Lenovo V15 G4,1.5,Intel UHD Graphics,FreeDos,8,13420H,15.6,3200,Black,lenovo,18056,256,2,2,2,3,4,4,3,3,3,4
Lenovo Ideapad Slim 3 16Iah8,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,16.0,4800,Grey,lenovo,23999,512,2,3,3,3,3,3,4,3,3,4
Asus Rog Strix G16 G614Fr,3.0,Nvidia GeForce RTX 5070Ti,FreeDos,32,AMD Ryzen 9,16.0,5600,Black,asus,118999,1024,2,4,4,4,3,3,3,3,4,3
Dell Vostro 3530,1.5,Intel UHD Graphics,Ubuntu,32,Intel Core i7,15.6,3200,Black,dell,24160,512,3,3,2,2,3,3,3,3,3,3
Hp Omen 17 Db0021Nt,1.5,Nvidia GeForce RTX 4070,FreeDos,16,AMD Ryzen 7,17.3,5600,Black,hp,61999,1024,4,2,2,3,3,3,2,3,4,4
Asus Vivobook 16X,1.5,Nvidia GeForce RTX 4050,Windows 11 Home,32,Intel Core i5,16.0,3200,Black,asus,42388,1024,3,3,4,3,3,3,3,4,3,2
Asus Zenbook 14 Oled,3.0,Shared,Windows 11 Home,16,Intel Core Ultra 5,14.0,7467,Blue,asus,40499,512,1,2,1,5,1,4,3,4,2,3
Dell Inspiron 3520 I5,3.0,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,2666,Black,dell,18999,512,3,2,2,3,3,2,3,3,2,3
Hp 250 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,64,Intel Core i7,15.6,3200,Grey,hp,32785,1024,2,4,3,2,1,2,1,4,3,2
Lenovo V15 G4,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,24148,1024,4,2,4,2,4,3,2,4,3,4
Dell Vostro 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Dark Grey,dell,22399,1024,4,3,3,2,1,3,3,4,3,3
Lenovo V15 G4,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,lenovo,24899,512,4,3,2,4,4,2,2,3,3,4
Acer Nitro 5,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i5,15.6,4800,Black,acer,38999,1024,3,3,4,3,2,3,3,3,3,2
Asus Vivobook Go 15,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3200,Grey,asus,14999,256,2,3,3,3,2,3,3,4,1,2
Dell Gaming G15 5530,3.0,Nvidia GeForce RTX 4050,Ubuntu,16,Intel Core i7,15.6,4800,"Black, Grey",dell,43257,512,3,1,3,2,3,2,3,3,2,2
Lenovo Ideapad 5 2,1.5,Onboard,FreeDos,16,Ryzen 5,14.0,6400,Blue,lenovo,29999,512,3,2,2,4,3,3,3,4,4,3
Lenovo V15 G4,1.0,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Black,lenovo,20159,512,3,3,5,1,4,2,3,3,3,4
Lenovo Nb V15 83A10096Tr,1.0,Intel Iris Xe Graphics,Android,1,Intel Based,15.6,1066,"Gold, Metallic Black",lenovo,19736,512,3,2,4,3,2,1,3,3,3,2
Casper Nirvana C550 1255,1.5,Shared,FreeDos,32,Intel Core i7,15.6,3200,Dark Grey,casper,24725,1024,3,3,2,3,4,3,4,5,3,2
Lenovo Legion Pro 7,3.0,Nvidia GeForce RTX 4080,FreeDos,32,Intel Core i9,16.0,5600,Black,lenovo,129999,1024,3,2,4,3,5,4,2,3,3,3
Asus Vivobook Go 15 E1504Ga,1.5,Intel UHD Graphics,FreeDos,8,Intel Core i3,15.6,3200,Silver,asus,12199,512,2,1,4,3,4,2,3,4,3,4
Asus Tuf Gaming A15 Fa507Nv,3.0,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 5,15.6,4800,Black,asus,42498,512,3,3,3,3,3,2,3,3,2,3
Lenovo V15 82Tv009Dtx,3.0,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 7,15.6,3200,Black,lenovo,17799,512,2,3,2,2,4,4,4,4,2,3
Lenovo Ideapad Slim 3 15Irh8,3.0,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,37283,1024,3,4,4,3,2,3,3,3,3,4
Msi Cyborg 15 A13Ve,1.5,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,42901,512,2,3,3,3,4,2,4,3,3,4
Lenovo Yoga Slim 7,1.0,Intel Arc Graphics,Windows 11 Home,16,Intel Core Ultra 5,14.0,7467,Grey,lenovo,38999,512,2,3,2,2,3,2,4,2,3,3
Asus Vivobook 16X,1.5,Nvidia GeForce RTX 4050,Windows 11 Home,16,Intel Core i5,16.0,3200,Black,asus,41471,1024,4,4,5,3,3,3,4,3,2,3
Dell Vostro 3520 N1611Pvnb3520U,1.0,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,3200,Dark Grey,dell,17999,512,4,3,5,3,4,2,3,3,3,3
Lenovo V15 G3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,20975,512,3,1,2,3,4,2,5,4,3,2
Monster Tulpar T6 V2,1.5,Nvidia GeForce RTX 4070,Windows 11 Home,32,Core Ultra 7,16.0,5600,Black,monster,85694,1024,3,3,3,2,3,3,2,4,3,2
Casper Excalibur G870 1245,3.0,Nvidia GeForce RTX 2050,FreeDos,32,Intel Core i5,15.6,3200,Grey,casper,29309,1024,2,2,4,1,3,3,4,4,3,4
Lenovo V15 82Yu0122Tx,1.0,AMD Radeon 610M,FreeDos,8,AMD Ryzen 5,15.6,5500,Black,lenovo,12576,256,1,3,4,4,3,4,2,3,2,3
Acer Nitro 5 Nh,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,acer,31499,1024,4,3,2,2,2,3,2,3,3,2
Acer Nitro V15 Nh,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,32,13420H,15.6,4800,Black,acer,31999,512,3,2,3,3,4,1,4,2,3,3
Dell Vostro 3530,1.5,Intel Iris Xe Graphics,Linux,16,Intel Core i7,15.6,2666,Grey,dell,22972,512,3,3,3,3,3,4,3,3,3,2
Lenovo Ideapad Slim 3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i7,15.6,4800,Grey,lenovo,38999,1024,3,1,3,3,3,4,2,3,4,2
Asus Tuf Gaming F15 Fx507Vv,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,4800,Black,asus,51998,512,3,2,3,3,3,4,4,4,4,3
Lenovo V15 G4,3.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,lenovo,24999,1024,3,4,1,3,3,2,3,4,3,4
Asus Vivobook 15,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Navy Blue,asus,21899,512,3,3,3,3,4,3,3,3,2,3
Hp 250 G9,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Silver,hp,19298,512,4,3,4,2,3,5,3,3,2,3
Lenovo Ideapad Slim 3 15Amn8,1.5,AMD Radeon 610,FreeDos,8,AMD Ryzen 3,15.6,4800,Grey,lenovo,12799,512,2,5,3,3,3,1,4,3,3,2
Acer Aspire 3 A315,3.0,Intel Iris Xe Graphics,Linux,8,Intel Core i5,15.6,3200,Silver,acer,13861,512,3,4,4,3,2,3,3,3,4,2
Dell Inspiron 15 3511,1.5,Intel Iris Xe Graphics,Windows 10 Pro,16,Intel Core i5,15.6,2666,Black,dell,20999,1024,4,4,2,2,3,2,3,4,3,3
Dell Vostro 3530,1.0,Intel Iris Xe Graphics,Ubuntu,16,Intel Core i5,15.6,3200,Black,dell,18398,512,4,4,4,2,2,4,3,5,3,2
Msi Thin 15 B12Ve,1.0,Nvidia GeForce RTX 4050,Windows 11 Home,16,Intel Core i5,15.6,3200,Black,msi,36240,512,4,2,2,2,4,3,3,3,1,3
Hp 250 G10,1.5,Onboard,FreeDos,16,Intel Core i7,15.6,3200,Grey,hp,23999,512,2,4,3,3,2,2,2,4,1,2
Lenovo Ideapad 1 82R400R6Tx,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,lenovo,14999,512,4,2,2,3,3,3,4,2,3,2
Acer Nitro V 15 Anv15,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,4800,Black,acer,38367,512,1,3,2,3,1,3,4,3,3,2
Lenovo Ideapad 3 17Iau7,3.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,17.3,3200,Grey,lenovo,25999,512,3,4,2,4,3,3,4,3,3,3
Huawei Matebook D16,1.5,Shared,Windows 11 Home,8,Intel Core i5,16.0,3733,Grey,huawei,29999,512,2,3,3,3,3,2,2,4,2,4
Monster Abra A7 V15,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,17.3,3200,Black,monster,38299,1024,2,4,3,2,4,2,2,3,2,3
Msi Vector 16 Hx,3.0,Nvidia GeForce RTX 4080,Windows 11 Home,16,Intel Core i7,16.0,5600,Black,msi,144000,1024,4,4,3,3,2,3,3,3,2,3
Erazer Deputy P60I,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,erazer,37000,512,3,3,2,2,2,3,3,4,3,3
Monster Abra A7 V16,5.0,Nvidia GeForce RTX 4050,FreeDos,64,Intel Core i7,17.3,4800,Black,monster,56799,1024,3,5,2,2,4,4,3,4,3,3
Hp Victus 16 R0029Nt,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,16.1,5200,Grey,hp,45980,1024,2,2,2,3,5,3,3,4,3,3
Hp 250 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Grey,hp,27256,512,2,2,3,3,4,3,3,3,2,3
Msi Cyborg 15 A13Vf,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,48299,1024,3,3,2,2,2,2,3,4,3,3
Casper Nirvana X600,1.0,Shared,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,casper,17599,1024,4,3,2,1,3,2,4,3,2,4
Lenovo Ideapad Slim 3 16Iah8,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,16.0,4800,Grey,lenovo,26999,1024,3,2,3,4,3,4,3,2,4,3
Asus Vivobook 15,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Metallic Grey,asus,21999,1024,3,2,3,2,2,3,1,3,2,4
Lenovo Loq 15Iax9 83Gs007Wtr16,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,4800,Dark Grey,lenovo,35499,512,1,4,3,2,3,2,2,3,5,2
Lenovo Ideapad Gaming 3,1.0,Nvidia GeForce RTX 2050,FreeDos,16,AMD Ryzen 5,15.6,3200,Black,lenovo,23519,512,2,1,3,4,2,2,3,3,2,3
Hp Victus 80D30Ea 15,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,15.6,3200,Blue,hp,31499,512,2,2,3,3,4,2,4,4,3,4
Msi Cyborg 15 A13Vf,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,5200,Black,msi,42999,1024,3,3,4,3,4,2,4,4,2,3
Casper Nirvana X600,1.0,Shared,FreeDos,32,AMD Ryzen 5,15.6,3200,Grey,casper,17499,500,3,2,3,4,3,3,2,3,3,4
Lenovo V14 G4,1.5,Intel Iris Pro Graphics,FreeDos,8,1280P,15.6,3200,Black,lenovo,15999,250,2,3,2,3,2,4,2,3,3,2
Asus Rog Zephyrus G16 Gu605Cr,1.0,Nvidia GeForce RTX 5070Ti,FreeDos,32,Intel Core Ultra 9,16.0,7467,Silver,asus,149999,2048,3,3,4,3,3,2,3,3,3,4
Casper Excalibur G911 1490,3.0,Nvidia GeForce RTX 4070,FreeDos,64,Intel Core i9,16.0,4800,Grey,casper,81399,2048,3,4,4,2,5,4,4,2,3,2
Lenovo Ideapad,1.0,Intel UHD Graphics,FreeDos,8,Intel Core i3,15.6,3200,Grey,lenovo,11999,512,4,4,3,3,2,2,3,3,2,3
Lenovo V15 G4,1.0,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,3200,Black,lenovo,18191,512,3,2,4,2,2,3,4,3,3,3
Asus Tuf Gaming F15 Fx507Zc4A21,3.0,Nvidia GeForce RTX 3050,FreeDos,16,12500H,15.6,3200,Black,asus,30624,512,3,3,2,3,4,3,2,3,3,2
Lenovo V15 G4,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,21599,256,2,4,2,2,2,3,2,3,2,3
Monster Abra A7 V15,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,17.3,3200,Black,monster,41299,1024,2,3,2,4,2,3,4,4,3,3
Casper Nirvana X600 5700,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,casper,26400,512,4,3,1,2,4,3,3,3,3,4
Hp Victus 16 R1064Nt,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,16.1,5600,Black,hp,42923,512,4,2,4,2,3,3,2,4,2,4
Casper Excalibur G870 1245,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i5,15.6,3200,Grey,casper,40799,1024,2,3,2,1,3,2,3,3,2,5
Lenovo V15 G4,3.0,AMD Radeon Graphics,Windows 11 Pro,8,AMD Ryzen 5,15.6,4800,Black,lenovo,15013,256,3,3,4,3,4,3,4,3,3,4
Lenovo Ideapad 1,1.0,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,14.0,3200,"Grey, Silver",lenovo,18399,1024,4,3,3,3,2,3,3,3,3,2
Lenovo V15 G3,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Black,lenovo,25299,512,3,4,2,3,3,3,3,3,2,4
Msi Titan 18 Hx,3.0,Nvidia GeForce RTX 5090,Windows 11 Pro,96,Intel Core Ultra 9,18.0,6400,Black,msi,605759,6144,2,2,5,3,2,4,3,4,2,3
Acer Aspire 3 A315,1.0,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 5,15.6,5500,Silver,acer,14500,512,2,2,3,3,3,3,4,4,5,2
Lenovo Ideapad 3,1.5,Intel UHD Graphics,Windows 11 Pro,8,Intel Core i3,15.6,2666,Metallic Grey,lenovo,14799,256,4,3,3,3,2,2,3,3,3,2
Monster Tulpar T7 V20,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,17.3,3200,Black,monster,55888,1024,4,3,1,3,3,3,1,2,2,4
Monster Abra A5 V20,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,15.6,3200,Black,monster,46999,1024,4,3,3,2,3,2,4,4,3,3
Lenovo Ideapad Slim 3 15Irh8,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,38999,1024,3,2,4,3,4,3,3,3,2,3
Asus Rog Strix G16 G614Jv,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,16.0,4800,Dark Grey,asus,73999,512,3,3,5,2,3,3,4,4,2,2
Asus Vivobook S 14 Flip,1.0,AMD Radeon Graphics,Windows 11 Home,24,AMD Ryzen 5,14.0,3200,Grey,asus,41999,2048,3,4,3,2,3,2,2,3,3,3
Lenovo Thinkpad E14 Gen,1.0,Intel Arc Graphics,FreeDos,32,Intel Core Ultra 7,14.0,5600,Black,lenovo,42999,1024,3,2,1,3,2,2,4,4,3,4
Msi Vector 16 Hx,3.0,Nvidia GeForce RTX 4090,FreeDos,32,Intel Core i9,16.0,5200,Black,msi,143999,2048,2,2,3,3,1,2,3,4,3,3
Hp 250 G9,1.5,Shared,FreeDos,16,Intel Core i5,15.6,3200,Grey,hp,17899,512,3,4,3,4,4,2,3,3,2,2
Casper Excalibur G770 1265,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i7,15.6,3200,Black,casper,37499,2048,4,2,3,3,4,3,2,4,2,4
Lenovo Loq 15Arp9,3.0,Nvidia GeForce RTX 3050,FreeDos,16,AMD Ryzen 5,15.6,4800,Grey,lenovo,32226,512,1,4,3,3,3,1,3,4,2,3
Msi Cyborg 15,3.0,Nvidia GeForce RTX 4060,Windows 11 Home,32,Intel Core i7,15.6,5200,Black,msi,57593,1024,5,3,4,3,1,2,4,4,2,3
Dell Inspiron 3520,3.0,Intel UHD Graphics,FreeDos,32,Intel Core i7,15.6,3200,Grey,dell,25120,512,4,3,2,2,3,2,3,2,4,3
Dell Vostro 3530,1.0,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Black,dell,27500,1024,3,3,2,4,4,4,3,3,4,2
Lenovo V15 G4,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,22399,512,4,3,2,2,3,3,4,3,2,2
Msi Katana 17,1.5,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,17.3,5200,Black,msi,71441,1024,1,3,1,4,4,3,2,3,4,3
Casper Nirvana S100 300Nit,1.0,Intel Graphics,FreeDos,16,Intel Core i7,16.0,5600,Titanium Grey,casper,24299,500,3,3,2,3,4,2,3,4,2,2
Lenovo Legion Pro 7,3.0,Nvidia GeForce RTX 4090,Windows 11 Home,32,Intel Core i9,16.0,5600,Black,lenovo,141999,1024,2,3,2,4,5,3,2,3,4,3
Lenovo V15 G4,1.5,Shared,FreeDos,8,AMD Ryzen 7,15.6,3200,Black,lenovo,16305,512,3,3,4,3,2,3,4,3,4,3
Dell Vostro 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Dark Grey,dell,19799,512,3,3,4,3,3,4,4,4,3,3
Acer Nitro 5 Anv15,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,15.6,5600,Black,acer,35999,1024,2,5,3,3,2,3,4,3,3,3
Lenovo V15 G3,1.0,AMD Radeon Graphics,Windows 11 Home,16,AMD Ryzen 7,15.6,3200,Black,lenovo,20799,512,4,3,4,3,2,4,2,4,2,4
Hp 250 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Grey,hp,21582,512,2,3,3,2,2,3,2,5,4,3
Asus Tuf Gaming F15 Fx507Zc4A36,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,16,12500H,15.6,3200,Black,asus,44059,4096,5,3,2,3,3,3,4,5,1,3
Asus Expertbook P1 P1503,1.0,Intel UHD Graphics,FreeDos,32,Intel Core i7,15.6,5600,Metallic Grey,asus,39983,1024,2,3,3,2,4,2,3,3,3,3
Lenovo Ideapad Slim 5,1.5,Intel Arc Graphics,FreeDos,16,Intel Core Ultra 5,14.0,7467,Grey,lenovo,32900,512,3,3,3,3,2,4,2,4,3,3
Lenovo Thinkbook 16 21Kh001Etr,1.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,16.0,5200,Grey,lenovo,26299,512,2,2,4,3,2,2,4,3,3,2
Lenovo V15 G4,1.0,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Black,lenovo,19528,512,3,3,3,2,3,4,3,3,3,4
Lenovo Thinkbook 14 G6,3.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,14.0,5200,Grey,lenovo,37301,1024,3,4,3,2,4,4,3,3,3,3
Casper Excalibur G870 1245,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,41858,1024,4,2,3,4,2,3,3,3,4,3
Dell Inspiron 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,25969,1024,2,4,2,2,2,2,4,3,2,2
Lenovo Thinkbook 14 G6,3.0,Intel Iris Xe Graphics,FreeDos,32,Intel Core i7,14.0,5200,Grey,lenovo,42630,1024,3,4,4,2,2,3,4,4,2,3
Asus Vivobook X1502Za Ej106602,1.5,Intel UHD Graphics,FreeDos,24,Intel Core i5,15.6,3200,Blue,asus,22799,1024,3,2,1,4,3,2,3,4,3,3
Lenovo Ideapad Slim 3,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,37999,512,3,3,4,4,2,4,3,3,4,4
Lenovo V15 G3,1.0,Shared,FreeDos,16,Intel Core i3,15.6,3200,Black,lenovo,14199,512,3,3,3,4,3,2,2,4,2,3
Lenovo Thinkpad E14 Gen,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 5,14.0,3200,Black,lenovo,24400,512,3,1,2,2,3,3,3,2,3,2
Dell Vostro 3510,1.0,Intel UHD Graphics,Ubuntu,8,Intel Core i5,15.6,3200,Black,dell,20456,256,3,2,2,2,2,1,4,2,2,3
Monster Tulpar T6 V3,3.0,Nvidia GeForce RTX 4060,Windows 11 Home,32,Intel Core i7,16.0,4800,Black,monster,60899,1024,4,4,4,3,4,2,3,4,2,3
Dell Vostro 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Black,dell,25799,1024,3,3,3,2,3,2,3,4,3,2
Acer Nitro V 15 Anv15,3.0,Nvidia GeForce RTX 4050,Windows 11 Pro,64,Intel Core i7,15.6,5600,Black,acer,54999,1024,1,3,2,2,3,2,2,4,2,4
Lenovo V15 Gen2,1.5,Shared,Windows 11 Pro,16,Intel Core i7,15.6,3200,"Dark Grey, Black",lenovo,29000,1024,3,3,3,4,3,4,2,5,4,3
Acer Aspire 3 A315,1.5,AMD Radeon Graphics,Windows 11 Home,16,AMD Ryzen 5,15.6,3200,Grey,acer,16999,512,3,3,4,2,3,3,1,4,3,3
Lenovo Thinkpad E14 Gen,1.5,Shared,Windows 11 Pro,16,Intel Core i5,14.0,3200,Black,lenovo,31999,512,3,4,3,3,3,1,3,5,2,2
Lenovo V15,1.5,AMD Radeon Graphics,Windows 11 Home,40,AMD Ryzen 7,15.6,3200,Black,lenovo,29371,1024,2,3,3,3,2,2,3,3,3,3
Lenovo Thinkpad E16 Gen,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,16.0,3200,Black,lenovo,30831,512,2,3,3,2,3,3,3,4,5,4
Lenovo Ideapad 1 15Alc7,1.5,Shared,FreeDos,8,AMD Ryzen 5,15.6,3200,Grey,lenovo,13700,512,2,3,2,3,5,4,4,4,2,3
Lenovo Ideapad 3 17Alc6,3.0,AMD Radeon Graphics,FreeDos,20,AMD Ryzen 7,17.3,3200,Grey,lenovo,25349,512,3,3,1,2,4,2,2,5,2,3
Hp 250 G9,1.0,Shared,FreeDos,8,Intel Core i5,15.6,3200,Grey,hp,16421,512,4,4,2,4,3,3,2,3,2,3
Hp 15 Fd1002Nt,1.5,Intel HD Graphics,FreeDos,16,Intel Core i7,15.6,3200,Grey,hp,33549,512,3,3,4,2,5,3,3,3,3,1
Hp 250 G10,1.0,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Silver,hp,35671,1024,3,1,3,2,4,1,1,2,2,3
Asus Rog Strix G16,3.0,Nvidia GeForce RTX 4060,FreeDos,64,Intel Core i9,16.0,5600,Black,asus,102551,1024,4,3,2,3,3,3,2,3,3,2
Dell Vostro 3530,1.0,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,27500,512,1,3,4,4,5,2,2,4,3,2
Asus Vivobook Go 15,1.0,Intel UHD Graphics,FreeDos,8,Intel Core i3,15.6,3200,Black,asus,11327,128,1,3,3,1,4,2,4,3,3,2
Monster Abra A5 V21,1.5,Nvidia GeForce RTX 2050,FreeDos,16,Intel Core i7,15.6,3200,Black,monster,39998,1024,2,3,3,2,2,3,1,4,4,2
Hp 15 Fc0003Nt,3.0,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 3,15.6,6400,Black,hp,10499,256,4,4,2,2,3,2,3,2,2,2
Huawei Matebook D15,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3733,Grey,huawei,25000,256,3,3,2,2,2,2,3,4,3,4
Monster Abra A5 V20,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,3200,Black,monster,37199,500,3,4,2,2,2,2,2,3,2,5
Dell Vostro 3520 N1614Pvnb3520U06,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i3,15.6,3200,Black,dell,15999,1024,3,2,3,3,4,2,4,5,3,3
Asus Asusvivobook E1504,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3200,Silver,asus,12869,256,3,3,3,3,3,2,5,2,3,2
