Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage
Lenovo Ideapad Slim 3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i7,15.6,4800,Grey,lenovo,38999,1024
Asus Tuf Gaming F15 Fx507Vv,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,4800,Black,asus,51998,512
Lenovo V15 G4,3,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,lenovo,24999,1024
Asus Vivobook 15,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Navy Blue,asus,21899,512
Hp 250 G9,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Silver,hp,19298,512
Lenovo Ideapad Slim 3 15Amn8,1.5,AMD Radeon 610,FreeDos,8,AMD Ryzen 3,15.6,4800,Grey,lenovo,12799,512
Acer Aspire 3 A315,3,Intel Iris Xe Graphics,Linux,8,Intel Core i5,15.6,3200,Silver,acer,13861,512
Dell Inspiron 15 3511,1.5,Intel Iris Xe Graphics,Windows 10 Pro,16,Intel Core i5,15.6,2666,Black,dell,20999,1024
Dell Vostro 3530,1,Intel Iris Xe Graphics,Ubuntu,16,Intel Core i5,15.6,3200,Black,dell,18398,512
Msi Thin 15 B12Ve,1,Nvidia GeForce RTX 4050,Windows 11 Home,16,Intel Core i5,15.6,3200,Black,msi,36240,512
Hp 250 G10,1.5,Onboard,FreeDos,16,Intel Core i7,15.6,3200,Grey,hp,23999,512
Lenovo Ideapad 1 82R400R6Tx,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,lenovo,14999,512
Acer Nitro V 15 Anv15,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,4800,Black,acer,38367,512
Lenovo Ideapad 3 17Iau7,3,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,17.3,3200,Grey,lenovo,25999,512
Huawei Matebook D16,1.5,Shared,Windows 11 Home,8,Intel Core i5,16,3733,Grey,huawei,29999,512
Monster Abra A7 V15,3,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,17.3,3200,Black,monster,38299,1024
Msi Vector 16 Hx,3,Nvidia GeForce RTX 4080,Windows 11 Home,16,Intel Core i7,16,5600,Black,msi,144000,1024
Erazer Deputy P60I,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,erazer,37000,512
Monster Abra A7 V16,5,Nvidia GeForce RTX 4050,FreeDos,64,Intel Core i7,17.3,4800,Black,monster,56799,1024
Hp Victus 16 R0029Nt,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,16.1,5200,Grey,hp,45980,1024
Hp 250 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Grey,hp,27256,512
Msi Cyborg 15 A13Vf,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,48299,1024
Casper Nirvana X600,1,Shared,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,casper,17599,1024
Lenovo Ideapad Slim 3 16Iah8,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,16,4800,Grey,lenovo,26999,1024
Asus Vivobook 15,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Metallic Grey,asus,21999,1024
Lenovo Loq 15Iax9 83Gs007Wtr16,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,4800,Dark Grey,lenovo,35499,512
Lenovo Ideapad Gaming 3,1,Nvidia GeForce RTX 2050,FreeDos,16,AMD Ryzen 5,15.6,3200,Black,lenovo,23519,512
Hp Victus 80D30Ea 15,3,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,15.6,3200,Blue,hp,31499,512
Msi Cyborg 15 A13Vf,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,5200,Black,msi,42999,1024
Casper Nirvana X600,1,Shared,FreeDos,32,AMD Ryzen 5,15.6,3200,Grey,casper,17499,500
Lenovo V14 G4,1.5,Intel Iris Pro Graphics,FreeDos,8,1280P,15.6,3200,Black,lenovo,15999,250
Asus Rog Zephyrus G16 Gu605Cr,1,Nvidia GeForce RTX 5070Ti,FreeDos,32,Intel Core Ultra 9,16,7467,Silver,asus,149999,2048
Casper Excalibur G911 1490,3,Nvidia GeForce RTX 4070,FreeDos,64,Intel Core i9,16,4800,Grey,casper,81399,2048
Lenovo Ideapad,1,Intel UHD Graphics,FreeDos,8,Intel Core i3,15.6,3200,Grey,lenovo,11999,512
Lenovo V15 G4,1,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,3200,Black,lenovo,18191,512
Asus Tuf Gaming F15 Fx507Zc4A21,3,Nvidia GeForce RTX 3050,FreeDos,16,12500H,15.6,3200,Black,asus,30624,512
Lenovo V15 G4,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,21599,256
Monster Abra A7 V15,3,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,17.3,3200,Black,monster,41299,1024
Casper Nirvana X600 5700,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,casper,26400,512
Hp Victus 16 R1064Nt,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,16.1,5600,Black,hp,42923,512
Casper Excalibur G870 1245,3,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i5,15.6,3200,Grey,casper,40799,1024
Lenovo V15 G4,3,AMD Radeon Graphics,Windows 11 Pro,8,AMD Ryzen 5,15.6,4800,Black,lenovo,15013,256
Lenovo Ideapad 1,1,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,14,3200,"Grey, Silver",lenovo,18399,1024
Lenovo V15 G3,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Black,lenovo,25299,512
Msi Titan 18 Hx,3,Nvidia GeForce RTX 5090,Windows 11 Pro,96,Intel Core Ultra 9,18,6400,Black,msi,605759,6144
Acer Aspire 3 A315,1,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 5,15.6,5500,Silver,acer,14500,512
Lenovo Ideapad 3,1.5,Intel UHD Graphics,Windows 11 Pro,8,Intel Core i3,15.6,2666,Metallic Grey,lenovo,14799,256
Monster Tulpar T7 V20,3,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,17.3,3200,Black,monster,55888,1024
Monster Abra A5 V20,3,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,15.6,3200,Black,monster,46999,1024
Lenovo Ideapad Slim 3 15Irh8,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,38999,1024
Asus Rog Strix G16 G614Jv,3,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,16,4800,Dark Grey,asus,73999,512
Asus Vivobook S 14 Flip,1,AMD Radeon Graphics,Windows 11 Home,24,AMD Ryzen 5,14,3200,Grey,asus,41999,2048
Lenovo Thinkpad E14 Gen,1,Intel Arc Graphics,FreeDos,32,Intel Core Ultra 7,14,5600,Black,lenovo,42999,1024
Msi Vector 16 Hx,3,Nvidia GeForce RTX 4090,FreeDos,32,Intel Core i9,16,5200,Black,msi,143999,2048
Hp 250 G9,1.5,Shared,FreeDos,16,Intel Core i5,15.6,3200,Grey,hp,17899,512
Casper Excalibur G770 1265,3,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i7,15.6,3200,Black,casper,37499,2048
Lenovo Loq 15Arp9,3,Nvidia GeForce RTX 3050,FreeDos,16,AMD Ryzen 5,15.6,4800,Grey,lenovo,32226,512
Msi Cyborg 15,3,Nvidia GeForce RTX 4060,Windows 11 Home,32,Intel Core i7,15.6,5200,Black,msi,57593,1024
Dell Inspiron 3520,3,Intel UHD Graphics,FreeDos,32,Intel Core i7,15.6,3200,Grey,dell,25120,512
Dell Vostro 3530,1,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Black,dell,27500,1024
Lenovo V15 G4,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,22399,512
Msi Katana 17,1.5,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,17.3,5200,Black,msi,71441,1024
Casper Nirvana S100 300Nit,1,Intel Graphics,FreeDos,16,Intel Core i7,16,5600,Titanium Grey,casper,24299,500
Lenovo Legion Pro 7,3,Nvidia GeForce RTX 4090,Windows 11 Home,32,Intel Core i9,16,5600,Black,lenovo,141999,1024
Lenovo V15 G4,1.5,Shared,FreeDos,8,AMD Ryzen 7,15.6,3200,Black,lenovo,16305,512
Dell Vostro 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Dark Grey,dell,19799,512
Acer Nitro 5 Anv15,3,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,15.6,5600,Black,acer,35999,1024
Lenovo V15 G3,1,AMD Radeon Graphics,Windows 11 Home,16,AMD Ryzen 7,15.6,3200,Black,lenovo,20799,512
Hp 250 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Grey,hp,21582,512
Asus Tuf Gaming F15 Fx507Zc4A36,3,Nvidia GeForce RTX 3050,Windows 11 Home,16,12500H,15.6,3200,Black,asus,44059,4096
Asus Expertbook P1 P1503,1,Intel UHD Graphics,FreeDos,32,Intel Core i7,15.6,5600,Metallic Grey,asus,39983,1024
Lenovo Ideapad Slim 5,1.5,Intel Arc Graphics,FreeDos,16,Intel Core Ultra 5,14,7467,Grey,lenovo,32900,512
Lenovo Thinkbook 16 21Kh001Etr,1,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,16,5200,Grey,lenovo,26299,512
Lenovo V15 G4,1,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Black,lenovo,19528,512
Lenovo Thinkbook 14 G6,3,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,14,5200,Grey,lenovo,37301,1024
Casper Excalibur G870 1245,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,41858,1024
Dell Inspiron 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,25969,1024
Lenovo Thinkbook 14 G6,3,Intel Iris Xe Graphics,FreeDos,32,Intel Core i7,14,5200,Grey,lenovo,42630,1024
Asus Vivobook X1502Za Ej106602,1.5,Intel UHD Graphics,FreeDos,24,Intel Core i5,15.6,3200,Blue,asus,22799,1024
Lenovo Ideapad Slim 3,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,37999,512
Lenovo V15 G3,1,Shared,FreeDos,16,Intel Core i3,15.6,3200,Black,lenovo,14199,512
Lenovo Thinkpad E14 Gen,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 5,14,3200,Black,lenovo,24400,512
Dell Vostro 3510,1,Intel UHD Graphics,Ubuntu,8,Intel Core i5,15.6,3200,Black,dell,20456,256
Monster Tulpar T6 V3,3,Nvidia GeForce RTX 4060,Windows 11 Home,32,Intel Core i7,16,4800,Black,monster,60899,1024
Dell Vostro 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Black,dell,25799,1024
Acer Nitro V 15 Anv15,3,Nvidia GeForce RTX 4050,Windows 11 Pro,64,Intel Core i7,15.6,5600,Black,acer,54999,1024
Lenovo V15 Gen2,1.5,Shared,Windows 11 Pro,16,Intel Core i7,15.6,3200,"Dark Grey, Black",lenovo,29000,1024
Acer Aspire 3 A315,1.5,AMD Radeon Graphics,Windows 11 Home,16,AMD Ryzen 5,15.6,3200,Grey,acer,16999,512
Lenovo Thinkpad E14 Gen,1.5,Shared,Windows 11 Pro,16,Intel Core i5,14,3200,Black,lenovo,31999,512
Lenovo V15,1.5,AMD Radeon Graphics,Windows 11 Home,40,AMD Ryzen 7,15.6,3200,Black,lenovo,29371,1024
Lenovo Thinkpad E16 Gen,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,16,3200,Black,lenovo,30831,512
Lenovo Ideapad 1 15Alc7,1.5,Shared,FreeDos,8,AMD Ryzen 5,15.6,3200,Grey,lenovo,13700,512
Lenovo Ideapad 3 17Alc6,3,AMD Radeon Graphics,FreeDos,20,AMD Ryzen 7,17.3,3200,Grey,lenovo,25349,512
Hp 250 G9,1,Shared,FreeDos,8,Intel Core i5,15.6,3200,Grey,hp,16421,512
Hp 15 Fd1002Nt,1.5,Intel HD Graphics,FreeDos,16,Intel Core i7,15.6,3200,Grey,hp,33549,512
Hp 250 G10,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Silver,hp,35671,1024
Asus Rog Strix G16,3,Nvidia GeForce RTX 4060,FreeDos,64,Intel Core i9,16,5600,Black,asus,102551,1024
Dell Vostro 3530,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,27500,512
Asus Vivobook Go 15,1,Intel UHD Graphics,FreeDos,8,Intel Core i3,15.6,3200,Black,asus,11327,128
Monster Abra A5 V21,1.5,Nvidia GeForce RTX 2050,FreeDos,16,Intel Core i7,15.6,3200,Black,monster,39998,1024
Hp 15 Fc0003Nt,3,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 3,15.6,6400,Black,hp,10499,256
Huawei Matebook D15,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3733,Grey,huawei,25000,256
Monster Abra A5 V20,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,3200,Black,monster,37199,500
Dell Vostro 3520 N1614Pvnb3520U06,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i3,15.6,3200,Black,dell,15999,1024
Asus Asusvivobook E1504,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3200,Silver,asus,12869,256
Dell Inspiron 3520,3,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,3200,Grey,dell,23292,512
Casper Nirvana X600 1270,1.5,Shared,Windows 11 Home,16,Intel Core i7,15.6,3200,Grey,casper,26499,1024
Lenovo Thinkpad E14 Gen,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,14,3200,Black,lenovo,39300,512
Dell Gaming G15 5530,3,Nvidia GeForce RTX 4060,Ubuntu,32,Intel Core i7,15.6,4800,Black,dell,57772,1024
Dell Vostro 3530,1,Intel Iris Xe Graphics,Windows 11 Home,32,Intel Core i5,15.6,3200,Black,dell,24799,1024
Asus Vivobook 15 X1504Va,1,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Silver,asus,19199,512
Lenovo Ideapad Slim 3 15Iah8,1,Intel UHD Graphics,Windows 11 Pro,8,Intel Core i5,15.6,4800,Grey,lenovo,17149,512
Asus Vivobook 15 13,1.5,Intel Iris Xe Graphics,Windows 11 Home,24,Intel Core i7,15.6,3200,Metallic Grey,asus,30379,1024
Dell Vostro 3520,1.5,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,2666,Grey,dell,16624,512
Casper Excalibur G870 1245,3,Nvidia GeForce RTX 2050,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,28499,1024
Hp Envy X360,1,Intel Graphics,Windows 11 Home,16,Intel Core Ultra 5,16,6400,Grey,hp,35997,512
Lenovo Ideapad Slim 3 12,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i5,15.6,4800,Grey,lenovo,18999,512
Monster Abra A5 V20,3,Nvidia GeForce RTX 4050,Windows 11 Home,32,Intel Core i7,15.6,3200,Black,monster,52099,1024
Asus X1504Za Nj547W,1.5,Intel Iris Xe Graphics,Windows 11 Home,8,Intel Core i5,15.6,3200,Blue,asus,16682,512
Casper Excalibur G870 1270,3,Nvidia GeForce RTX 4060,Windows 11 Pro,32,Intel Core i7,15.6,3200,Grey,casper,53984,2048
Monster Abra A7 V15,3,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,17.3,3200,Black,monster,36099,500
Lenovo V15 G3,1.5,Intel Iris Xe Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Black,lenovo,21999,512
Lenovo V15 G3,3,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Black,lenovo,20889,512
Msi Titan 18 Hx,3,Nvidia GeForce RTX 5090,Windows 11 Pro,96,Intel Core Ultra 9,18,6400,Black,msi,341499,6144
Casper Excalibur G870 1270,3,Nvidia GeForce RTX 4050,Windows 11 Home,32,Intel Core i7,15.6,3200,Grey,casper,49167,1024
Monster Huma H5 V4,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,monster,28999,500
Dell 3530,1,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,dell,21853,512
Hp 450 G8,1.5,Intel HD Graphics,Windows 10 Pro,4,Intel Core i3,15.6,2666,Silver,hp,14085,256
Asus Vivobook 15 X1504Va,3,Intel Iris Graphics,Windows 11 Home,16,Intel Core i7,15.6,3200,Grey,asus,29499,1024
Lenovo Legion 9,3,Nvidia GeForce RTX 4090,FreeDos,64,Intel Core i9,16,5600,Black,lenovo,229999,2048
Hp Probook 450 G9,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Silver,hp,37770,1024
Lenovo V15 G3,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Black,lenovo,30379,1024
Acer Nitro 5 Nh,3,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Black,acer,29999,1024
Hp Victus 16 S0022Nt,3,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 7,16.1,5600,Blue,hp,39999,512
Lenovo E15 21E6006Ytx,1,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,lenovo,31360,512
Dell Latitude 3540 N032L354015Wp,1.5,Shared,Windows 11 Pro,8,Intel Core i5,15.6,3200,Dark Grey,dell,34572,512
Lenovo V15 G3,1.5,Shared,FreeDos,16,AMD Ryzen 7,15.6,3200,Black,lenovo,21326,512
Asus Tuf Gaming A15,3,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 7,15.6,4800,Black,asus,48193,512
Asus Vivobook 15 X1504Za,1.5,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Navy Blue,asus,25999,2048
Dell Latitude 3550,1,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,5600,Black,dell,42194,512
Asus Tuf Gaming F15 Fx506Hf,3,Nvidia GeForce RTX 2050,FreeDos,8,11400H,15.6,3200,Black,asus,34799,512
Dell Latitude 3540,3,Intel Iris Xe Graphics,FreeDos,32,Intel Core i5,15.6,3200,Grey,dell,26057,1024
Dell Latitude 3540,3,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Grey,dell,30449,1024
Hp 255 G9,1.5,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 7,15.6,3200,Grey,hp,21599,512
Lenovo Ideapad 3 15Iau7,1.5,Shared,Windows 11 Pro,24,Intel Core i3,15.6,3200,Grey,lenovo,27271,1024
Acer Extensa 15 Ex215,1.5,Intel UHD Graphics,Windows 11 Pro,24,Intel Core i7,15.6,3200,Black,acer,27450,512
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,casper,44659,1024
Lenovo Yoga 7,1.5,Shared,Windows 11 Home,16,Intel Core i7,16,5200,Grey,lenovo,68999,1024
Lenovo Ideapad Gaming 3,1.5,Nvidia GeForce RTX 2050,Windows 11 Pro,16,AMD Ryzen 5,15.6,3200,Black,lenovo,30379,1024
Asus Vivobook 15,1.5,Intel UHD Graphics,Windows 11 Home,12,Intel Core i3,15.6,3200,Navy Blue,asus,15499,512
Lenovo Ideapad 3,1.5,Intel UHD Graphics,Windows 11 Pro,8,Intel Core i3,15.6,2666,Metallic Grey,lenovo,14499,512
Msi Modern 15 B12Mo,1,Intel Iris Xe Graphics,Windows 10 Pro,8,Intel Core i5,15.6,3200,Black,msi,27200,512
Lenovo Ideapad Gaming 3,1.5,Nvidia GeForce RTX 2050,Windows 11 Pro,32,AMD Ryzen 5,15.6,3200,Black,lenovo,29889,512
Dell Latitude 3450,1,Intel HD Graphics,Windows 11 Pro,16,Intel Core i5,14,5600,"Dark Gray, Black",dell,30000,256
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,Windows 11 Pro,64,Intel Core i5,15.6,3200,Black,casper,50599,1024
Dell Latitude 5540,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,dell,53650,512
Dell Latitude 3540,3,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,15.6,3200,Grey,dell,28745,512
Lenovo Ideapad 1,1.5,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 7,15.6,3200,Grey,lenovo,17499,512
Dell Nb Vostro 3520 N2062Pvnb3520U,1,Intel Iris Xe Graphics,FreeDos,8,1135G7,15.6,2666,"Dark Gray, Black",dell,17819,256
Dell Latitude 3550 N010L355015U08,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,5600,Dark Grey,dell,41553,512
Dell Latitude 3540,1.5,Intel Iris Xe Graphics,Windows 11 Pro,8,Intel Core i5,15.6,3200,Black,dell,34270,256
Hp 255 G9,1,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 7,15.6,3200,Grey,hp,20806,512
Lenovo Ideapad Gaming 3,1.5,Nvidia GeForce RTX 2050,Windows 11 Pro,16,AMD Ryzen 5,15.6,3200,Black,lenovo,28419,512
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,Windows 11 Pro,32,Intel Core i5,15.6,3200,Black,casper,49499,1024
Lenovo V15 G4,1.5,Intel UHD Graphics,Windows 11 Pro,24,Intel Core i5,15.6,3200,Black,lenovo,25690,1024
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,casper,43559,1024
Acer Aspire Lite Al16 51P,1,Intel Iris Xe Graphics,Windows 11 Pro,32,1235U,16,4800,Grey,acer,24399,1024
Hp 255 G9,1.5,AMD Radeon Graphics,FreeDos,32,AMD Ryzen 7,15.6,3200,Grey,hp,23999,512
Lenovo Ideapad 3,1.5,Shared,FreeDos,8,AMD Ryzen 7,15.6,3200,Grey,lenovo,18999,512
Asus Vivobook 15,1.5,Intel UHD Graphics,FreeDos,8,Intel Core i7,15.6,3200,Navy Blue,asus,29999,512
Lenovo Ideapad 1,1.5,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 7,15.6,3200,Grey,lenovo,16749,256
Asus Tuf Gaming A15 Fa507Nu,3,Nvidia GeForce RTX 4050,FreeDos,8,AMD Ryzen 7,15.6,4800,Grey,asus,45799,512
Lenovo Ideapad Gaming 3,1.5,Nvidia GeForce RTX 2050,Windows 11 Pro,16,AMD Ryzen 5,15.6,3200,Black,lenovo,33319,2048
Dell Vostro 3520 N1611Pvnb3520U09,1,Intel Iris Xe Graphics,Windows 11 Pro,8,Intel Core i5,15.6,3200,Dark Grey,dell,18897,512
Dell Vostro 3520,1.5,Shared,Windows 11 Pro,16,1235U,15.6,3200,Black,dell,20660,512
Hp 250 G10,1.5,Intel UHD Graphics,Windows 11 Home,32,Intel Core i7,15.6,3200,Grey,hp,31999,1024
Dell 3530,1,Shared,Windows 11 Pro,8,Intel Core i5,15.6,3200,Black,dell,26701,2048
Msi Katana 15 B13Vgk,3,Nvidia GeForce RTX 4070,Windows 10 Pro,64,Intel Core i7,15.6,5600,Black,msi,94399,1024
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,Windows 10 Pro,32,Intel Core i5,15.6,3200,Black,casper,46199,1024
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,Windows 10 Pro,16,Intel Core i5,15.6,3200,Black,casper,43999,1024
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,casper,44659,1024
Dell Latitude 3550 N010L355015U10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,5600,Dark Grey,dell,46009,512
Hp Probook 450 G10,1,Intel Iris Xe Graphics,FreeDos,8,Intel Core i7,15.6,3200,Silver,hp,34789,512
Lenovo V15 G4,1.5,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 5,15.6,4800,Black,lenovo,19749,1024
Dell Nb Latitude N047L354015 W,3,Intel Iris Xe Graphics,Windows 11 Pro,16,1235U,15.6,3200,Black,dell,32299,512
Lenovo Ideapad Duet 5 12Iru8,1.5,Shared,Windows 11 Home,8,Intel Core i5,12.4,4266,Grey,lenovo,44569,256
Hp 250 G8,1,Intel Iris Xe Graphics,Windows 11 Home,8,Intel Core i5,15.6,3200,Grey,hp,17990,256
Casper Nirvana X600 1235,1.5,Shared,Windows 11 Pro,32,Intel Core i5,15.6,3200,Grey,casper,21590,512
Hp 250 G8,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,15.6,3200,Grey,hp,28159,256
Dell Vostro 3510,1.5,Intel UHD Graphics 610,Linux,8,Intel Core i3,15.6,2666,Black,dell,17478,256
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,Windows 11 Pro,32,Intel Core i5,15.6,3200,Black,casper,49499,1024
Asus Tuf Gaming F15 Fx507Zc4,3,Nvidia GeForce RTX 3050,FreeDos,8,Intel Core i5,15.6,3200,Grey,asus,32999,512
Acer Aspire Lite Al16 51P,1,Intel Iris Xe Graphics,Windows 11 Pro,32,1235U,16,4800,Grey,acer,22499,512
Msi Katana 17 B13Vfk,3,Nvidia GeForce RTX 4060,Windows 11 Pro,64,Intel Core i7,17.3,5600,Black,msi,87999,1024
Asus Vivobook 15 X1502Za,1.5,Intel Iris Xe Graphics,Windows 11 Home,8,1235U,15.6,3200,Grey,asus,19999,512
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,FreeDos,64,Intel Core i5,15.6,3200,Black,casper,47299,1024
Casper Excalibur G770 1245,3,Nvidia GeForce RTX 3050,Windows 10 Pro,64,Intel Core i5,15.6,3200,Black,casper,49829,1024
Asus Vivobook 15 X1504Za,1.5,Shared,Windows 11 Pro,24,Intel Core i3,15.6,3200,Silver,asus,20990,1024
Msi Modern 15 B12Mo,1,Intel Iris Xe Graphics,Windows 10 Pro,8,Intel Core i5,15.6,3200,Black,msi,30799,1024
Lenovo Loq,3,Nvidia GeForce RTX 4050,FreeDos,24,12450H,15.6,4800,Black,lenovo,37999,512
Hp 250 G9,1.5,Shared,FreeDos,8,Intel Core i3,15.6,3200,Grey,hp,12980,512
Hp 15S Eq2006Nt,1,AMD Radeon Graphics,Windows 11 Pro,32,AMD Ryzen 5,15.6,3200,Black,hp,19999,1024
Dell Xps 13 9315,1.5,Shared,Windows 11 Pro,16,Intel Core i7,13.4,5200,Silver,dell,52662,512
Lenovo Ideapad Slim 3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i7,15.6,4800,Grey,lenovo,37244,1024
Asus Vivobook 16X K3605Zc,1,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,16,3200,Black,asus,34549,512
Casper Nirvana X600,1,Shared,FreeDos,32,AMD Ryzen 5,15.6,3200,Grey,casper,19099,1024
