Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage,CPU Rank,Graphic Card Rank,RAM Rank,Storage Rank,Memory Speed Rank,Screen Size Rank,Weight Rank,Brand Rank,Operating System Rank,Color Rank
DELL INSPIRON 15 3520,1.5,Shared,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,dell,19899,512,3,1,1,5,5,1,4,2,5,3
ASUS VIVOBOOK 15,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Metallic Grey,asus,30379,1024,1,5,1,5,2,4,4,2,1,5
DELL 3530,1.0,Shared,FreeDos,32,Intel Core i5,15.6,3200,Black,dell,20958,512,5,5,3,3,2,1,5,3,5,1
DELL LATITUDE 3550,1.0,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,5600,Black,dell,41399,512,4,5,4,3,4,4,5,5,3,1
LENOVO V15 G3,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,23999,512,5,1,2,2,1,1,3,5,1,1
CASPER NIRVANA X600 1235 8U00X G F,1.5,Shared,FreeDos,8,Intel Core i5,15.6,3200,Grey,casper,15119,250,4,2,4,5,5,2,5,2,4,1
LENOVO IDEAPAD 1 15ALC7 82R400F1TR 05,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Black,lenovo,19679,1024,3,4,5,5,2,2,2,5,4,5
LENOVO IDEAPAD GAMING 3,1.5,Nvidia GeForce RTX 2050,Windows 11 Pro,32,AMD Ryzen 5,15.6,3200,Black,lenovo,32339,1024,5,1,3,2,5,5,3,4,5,2
DELL INSPIRON 3520 I5 1235U 8 GB 512 GB SSD 15 6 WINDOWS 11 PRO,3.0,Intel Iris Xe Graphics,Windows 11 Pro,8,Intel Core i5,15.6,2666,Black,dell,17799,512,2,1,5,5,5,3,1,5,2,1
LENOVO IDEAPAD DUET 5 12IRU8,1.0,Shared,FreeDos,16,Intel Core i7,12.4,4266,Grey,lenovo,45360,512,1,3,5,5,3,1,5,5,1,4
XIAOMI REDMIBOOK 15E,1.0,Intel Iris Xe Graphics,Windows 11 Home,16,Intel Core i7,15.6,3200,Grey,xiaomi,21649,512,3,2,5,5,5,4,3,4,5,4
ACER NITRO V15 ANV15 51 57XV,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,5200,Black,acer,32278,512,4,4,5,1,4,4,4,5,2,5
DELL VOSTRO 15 3530,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,2666,Grey,dell,29199,1024,1,2,1,3,2,5,5,5,5,2
LENOVO LOQ,3.0,Nvidia GeForce RTX 4060,FreeDos,24,AMD Ryzen 7,15.6,4800,Grey,lenovo,46999,512,5,3,1,3,1,3,2,3,4,5
ERAZER DEPUTY P60 MD62624,3.0,Nvidia GeForce RTX 4070,Windows 11 Home,16,Intel Core i7,15.6,3200,Dark Grey,erazer,54399,1024,3,1,4,5,1,2,5,1,1,1
HP VICTUS 16 S1003NT A05N7EA,3.0,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,16.1,5600,Blue,hp,70999,1024,3,2,1,3,1,5,1,2,4,5
CASPER EXCALIBUR G770 1265 BVJ0X B,2.5,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Black,casper,32499,512,1,3,4,5,1,5,4,3,3,1
HP OMEN 17 DB0019NT A44QQEA,3.0,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,17.3,5600,Black,hp,65999,1024,4,4,3,3,1,5,4,1,4,4
HP VICTUS GAMING LAPTOP 16 S1031NT,3.0,Nvidia GeForce RTX 4050,FreeDos,16,AMD Ryzen 5,16.1,5600,Blue,hp,37599,512,2,5,4,2,4,1,5,2,2,1
CASPER EXCALIBUR G770 1265 DVJ0X B,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i7,15.6,3200,Black,casper,34099,512,1,5,1,5,1,1,1,3,2,2
ASUS ROG STRIX SCAR 18 G835LW SA127,3.0,Nvidia GeForce RTX 5080,FreeDos,64,Intel Core Ultra 9,18.0,5600,Black,asus,194999,2048,1,1,3,2,5,1,5,5,5,3
HP ELITEBOOK 640 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,14.0,3200,Silver,hp,34500,512,1,1,4,5,5,4,4,2,4,1
ASUS ROG STRIX G16 G614JU N3110,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,16.0,4800,Grey,asus,59999,512,4,5,1,2,1,5,5,3,4,5
HP 15S EQ2000NT,1.5,AMD Radeon Graphics,Windows 11 Pro,16,AMD Ryzen 7,15.6,3200,Silver,hp,19499,1024,3,5,5,2,3,5,3,2,4,3
LENOVO V15 G4,1.5,Intel UHD Graphics,FreeDos,8,13420H,15.6,3200,Black,lenovo,18056,256,4,1,5,5,5,4,5,5,4,5
LENOVO IDEAPAD SLIM 3 16IAH8,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,16.0,4800,Grey,lenovo,23999,512,4,4,4,5,5,3,5,5,3,5
ASUS ROG STRIX G16 G614FR S5109,3.0,Nvidia GeForce RTX 5070Ti,FreeDos,32,AMD Ryzen 9,16.0,5600,Black,asus,118999,1024,3,2,1,3,5,4,2,2,4,2
DELL VOSTRO 3530,1.5,Intel UHD Graphics,Ubuntu,32,Intel Core i7,15.6,3200,Black,dell,24160,512,1,5,1,5,2,4,2,5,5,2
HP OMEN 17 DB0021NT A44QSEA,1.5,Nvidia GeForce RTX 4070,FreeDos,16,AMD Ryzen 7,17.3,5600,Black,hp,61999,1024,1,2,2,5,5,3,5,5,3,2
ASUS VIVOBOOK 16X,1.5,Nvidia GeForce RTX 4050,Windows 11 Home,32,Intel Core i5,16.0,3200,Black,asus,42388,1024,2,1,4,5,1,1,5,5,5,4
ASUS ZENBOOK 14 OLED UX3405MA QD089W,3.0,Shared,Windows 11 Home,16,Intel Core Ultra 5,14.0,7467,Blue,asus,40499,512,5,2,1,5,5,2,5,2,2,2
DELL INSPIRON 3520 I5 1235U 16 GB 512 GB SSD 15 6 WINDOWS 11 PRO,3.0,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,2666,Black,dell,18999,512,2,1,5,5,5,4,4,2,4,1
HP 250 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,64,Intel Core i7,15.6,3200,Grey,hp,32785,1024,3,2,1,3,1,2,5,2,5,2
LENOVO V15 G4 IRU,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,24148,1024,4,1,5,3,1,5,5,5,5,5
DELL VOSTRO 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Dark Grey,dell,22399,1024,5,1,1,2,1,1,5,5,2,3
LENOVO V15 G4 IRU,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,lenovo,24899,512,5,5,5,3,2,4,3,2,3,3
ACER NITRO 5 AN515 58 524A,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i5,15.6,4800,Black,acer,38999,1024,5,2,1,5,5,5,4,5,1,2
ASUS VIVOBOOK GO 15,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i3,15.6,3200,Grey,asus,14999,256,1,1,5,3,5,2,4,5,4,1
DELL GAMING G15 5530 G155530010U,3.0,Nvidia GeForce RTX 4050,Ubuntu,16,Intel Core i7,15.6,4800,"Black, Grey",dell,43257,512,3,2,1,5,2,2,2,4,5,1
LENOVO IDEAPAD 5 2 IN 1,1.5,Onboard,FreeDos,16,Ryzen 5,14.0,6400,Blue,lenovo,29999,512,3,4,2,1,5,1,3,4,3,1
LENOVO V15 G4 83A100A4TR I5 13420H 16GB 512GB SSD O B,1.0,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Black,lenovo,20159,512,3,5,5,5,3,2,4,3,4,5
LENOVO NB V15 83A10096TR,1.0,Intel Iris Xe Graphics,Android,1,Intel Based,15.6,1066,"Gold, Metallic Black",lenovo,19736,512,5,1,1,5,5,5,5,4,5,1
CASPER NIRVANA C550 1255 DF00X G F,1.5,Shared,FreeDos,32,Intel Core i7,15.6,3200,Dark Grey,casper,24725,1024,1,4,5,5,4,1,3,2,5,4
LENOVO LEGION PRO 7,3.0,Nvidia GeForce RTX 4080,FreeDos,32,Intel Core i9,16.0,5600,Black,lenovo,129999,1024,2,4,5,1,1,1,2,4,3,4
ASUS VIVOBOOK GO 15 E1504GA NJ340,1.5,Intel UHD Graphics,FreeDos,8,Intel Core i3,15.6,3200,Silver,asus,12199,512,3,1,5,5,1,2,5,5,5,1
ASUS TUF GAMING A15 FA507NV LP103 8GB RTX4060 140W,3.0,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 5,15.6,4800,Black,asus,42498,512,5,3,4,3,1,5,2,3,3,3
LENOVO V15 82TV009DTX,3.0,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 7,15.6,3200,Black,lenovo,17799,512,3,4,3,5,5,2,2,5,1,2
LENOVO IDEAPAD SLIM 3 15IRH8 83EM00DQTR,3.0,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,37283,1024,5,1,1,5,5,2,1,3,1,3
MSI CYBORG 15 A13VE 1479XTR,1.5,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,42901,512,1,4,2,2,5,4,5,3,5,4
LENOVO YOGA SLIM 7,1.0,Intel Arc Graphics,Windows 11 Home,16,Intel Core Ultra 5,14.0,7467,Grey,lenovo,38999,512,1,5,4,1,4,5,2,4,5,2
ASUS VIVOBOOK 16X,1.5,Nvidia GeForce RTX 4050,Windows 11 Home,16,Intel Core i5,16.0,3200,Black,asus,41471,1024,5,5,5,3,3,3,3,1,1,3
DELL VOSTRO 3520 N1611PVNB3520U,1.0,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,3200,Dark Grey,dell,17999,512,5,4,4,5,2,1,5,4,3,3
LENOVO V15 G3 IAP,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,20975,512,2,2,1,1,5,5,2,4,1,5
MONSTER TULPAR T6 V2 1 5,1.5,Nvidia GeForce RTX 4070,Windows 11 Home,32,Core Ultra 7,16.0,5600,Black,monster,85694,1024,1,1,3,5,1,2,5,5,5,1
CASPER EXCALIBUR G870 1245 DFG0X B,3.0,Nvidia GeForce RTX 2050,FreeDos,32,Intel Core i5,15.6,3200,Grey,casper,29309,1024,5,5,1,5,5,2,5,1,4,1
LENOVO V15 82YU0122TX,1.0,AMD Radeon 610M,FreeDos,8,AMD Ryzen 5,15.6,5500,Black,lenovo,12576,256,1,1,5,4,2,5,5,5,1,3
ACER NITRO 5 NH QFJEY 00A 32 1,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,acer,31499,1024,2,2,1,5,2,1,4,5,1,1
ACER NITRO V15 NH QNCEY 002 32,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,32,13420H,15.6,4800,Black,acer,31999,512,4,5,3,5,2,1,1,3,1,3
DELL VOSTRO 3530,1.5,Intel Iris Xe Graphics,Linux,16,Intel Core i7,15.6,2666,Grey,dell,22972,512,4,3,1,3,5,1,5,4,2,4
LENOVO IDEAPAD SLIM 3,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i7,15.6,4800,Grey,lenovo,38999,1024,5,2,1,5,5,4,3,2,1,4
ASUS TUF GAMING F15 FX507VV LP241 8GB RTX4060 140W 13 NESIL,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,4800,Black,asus,51998,512,3,2,1,5,3,1,5,5,4,2
LENOVO V15 G4 IRU 83A100HXTR,3.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Black,lenovo,24999,1024,1,5,2,5,5,3,4,5,1,5
ASUS VIVOBOOK 15 X1502ZA EJ1644,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Navy Blue,asus,21899,512,3,1,4,1,1,3,5,3,5,1
HP 250 G9 9M3G5AT11,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Silver,hp,19298,512,4,2,5,5,2,1,3,5,5,3
LENOVO IDEAPAD SLIM 3 15AMN8 15 6 FHD,1.5,AMD Radeon 610,FreeDos,8,AMD Ryzen 3,15.6,4800,Grey,lenovo,12799,512,5,1,5,3,1,1,5,3,4,2
ACER ASPIRE 3 A315 59 521E DIZUSTU BILGISAYAR,3.0,Intel Iris Xe Graphics,Linux,8,Intel Core i5,15.6,3200,Silver,acer,13861,512,4,5,3,5,4,4,5,1,2,3
DELL INSPIRON 15 3511,1.5,Intel Iris Xe Graphics,Windows 10 Pro,16,Intel Core i5,15.6,2666,Black,dell,20999,1024,4,4,4,1,1,1,3,3,5,1
DELL VOSTRO 3530,1.0,Intel Iris Xe Graphics,Ubuntu,16,Intel Core i5,15.6,3200,Black,dell,18398,512,5,3,5,3,1,1,5,5,4,1
MSI THIN 15 B12VE 1627TR,1.0,Nvidia GeForce RTX 4050,Windows 11 Home,16,Intel Core i5,15.6,3200,Black,msi,36240,512,2,1,2,5,4,4,4,1,1,1
HP 250 G10,1.5,Onboard,FreeDos,16,Intel Core i7,15.6,3200,Grey,hp,23999,512,3,2,1,5,3,5,4,5,5,4
LENOVO IDEAPAD 1 82R400R6TX,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,lenovo,14999,512,3,1,1,2,5,5,5,3,2,3
ACER NITRO V 15 ANV15 51,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,4800,Black,acer,38367,512,1,5,1,5,1,5,1,5,3,3
LENOVO IDEAPAD 3 17IAU7,3.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,17.3,3200,Grey,lenovo,25999,512,5,5,2,3,4,4,4,5,3,1
HUAWEI MATEBOOK D16 2024,1.5,Shared,Windows 11 Home,8,Intel Core i5,16.0,3733,Grey,huawei,29999,512,5,1,2,5,5,5,5,5,5,2
MONSTER ABRA A7 V15 3 4,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,17.3,3200,Black,monster,38299,1024,3,5,1,3,5,2,5,1,5,2
MSI VECTOR 16 HX A13VHG 495TR,3.0,Nvidia GeForce RTX 4080,Windows 11 Home,16,Intel Core i7,16.0,5600,Black,msi,144000,1024,1,5,2,1,5,4,5,3,4,4
ERAZER DEPUTY P60I MD62747,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,erazer,37000,512,4,5,2,2,2,5,4,1,1,5
MONSTER ABRA A7 V16 1 8,5.0,Nvidia GeForce RTX 4050,FreeDos,64,Intel Core i7,17.3,4800,Black,monster,56799,1024,1,1,1,5,1,1,3,3,2,5
HP VICTUS 16 R0029NT,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,16.1,5200,Grey,hp,45980,1024,1,1,4,2,4,1,2,5,2,4
HP 250 G10,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Grey,hp,27256,512,1,4,4,5,1,3,5,3,1,2
MSI CYBORG 15 A13VF 894XTR,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,48299,1024,4,2,1,5,2,3,3,4,1,1
CASPER NIRVANA X600,1.0,Shared,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,casper,17599,1024,3,4,4,5,1,3,5,1,1,4
LENOVO IDEAPAD SLIM 3 16IAH8,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,16.0,4800,Grey,lenovo,26999,1024,5,4,4,3,1,1,5,5,2,1
ASUS VIVOBOOK 15,1.5,Intel UHD Graphics,Windows 11 Home,16,Intel Core i5,15.6,3200,Metallic Grey,asus,21999,1024,2,3,1,2,5,5,2,2,5,5
LENOVO LOQ 15IAX9 83GS007WTR16,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,4800,Dark Grey,lenovo,35499,512,5,2,1,5,2,2,2,5,5,1
LENOVO IDEAPAD GAMING 3,1.0,Nvidia GeForce RTX 2050,FreeDos,16,AMD Ryzen 5,15.6,3200,Black,lenovo,23519,512,3,5,4,3,1,5,4,5,5,1
HP VICTUS 80D30EA 15 FA0008NT,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,15.6,3200,Blue,hp,31499,512,3,3,2,2,2,5,2,1,2,2
MSI CYBORG 15 A13VF 895XTR,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,5200,Black,msi,42999,1024,5,3,4,1,1,5,5,3,2,4
CASPER NIRVANA X600,1.0,Shared,FreeDos,32,AMD Ryzen 5,15.6,3200,Grey,casper,17499,500,5,1,1,1,4,5,4,3,5,1
LENOVO V14 G4 AMN 82YT00SQTX,1.5,Intel Iris Pro Graphics,FreeDos,8,1280P,15.6,3200,Black,lenovo,15999,250,5,1,4,1,5,1,5,5,1,1
ASUS ROG ZEPHYRUS G16 GU605CR QR201,1.0,Nvidia GeForce RTX 5070Ti,FreeDos,32,Intel Core Ultra 9,16.0,7467,Silver,asus,149999,2048,4,2,1,1,2,2,3,3,5,5
CASPER EXCALIBUR G911 1490 EX70X D,3.0,Nvidia GeForce RTX 4070,FreeDos,64,Intel Core i9,16.0,4800,Grey,casper,81399,2048,1,2,1,2,5,4,1,4,5,1
LENOVO IDEAPAD,1.0,Intel UHD Graphics,FreeDos,8,Intel Core i3,15.6,3200,Grey,lenovo,11999,512,4,4,5,5,5,4,2,5,1,1
LENOVO V15 G4 83A1008XTR,1.0,Intel UHD Graphics,FreeDos,8,Intel Core i5,15.6,3200,Black,lenovo,18191,512,5,2,5,5,2,2,2,5,1,1
ASUS TUF GAMING F15 FX507ZC4A21 HN205A21,3.0,Nvidia GeForce RTX 3050,FreeDos,16,12500H,15.6,3200,Black,asus,30624,512,1,4,4,2,5,3,2,5,1,5
LENOVO V15 G4 IRU,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,21599,256,5,5,2,5,5,2,4,4,5,4
MONSTER ABRA A7 V15 3 1,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,17.3,3200,Black,monster,41299,1024,4,5,2,5,4,3,1,1,2,5
CASPER NIRVANA X600 5700 BV00X G F,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,casper,26400,512,1,4,2,5,1,3,4,1,4,3
HP VICTUS 16 R1064NT,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,16.1,5600,Black,hp,42923,512,5,1,1,5,5,4,1,3,1,4
CASPER EXCALIBUR G870 1245 DFA0X B,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i5,15.6,3200,Grey,casper,40799,1024,5,2,4,2,2,4,5,4,3,2
LENOVO V15 G4,3.0,AMD Radeon Graphics,Windows 11 Pro,8,AMD Ryzen 5,15.6,4800,Black,lenovo,15013,256,5,1,4,4,5,1,1,5,4,4
LENOVO IDEAPAD 1,1.0,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 7,14.0,3200,"Grey, Silver",lenovo,18399,1024,1,5,1,3,3,5,5,4,4,1
LENOVO V15 G3,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Black,lenovo,25299,512,3,2,5,2,3,2,5,5,5,1
MSI TITAN 18 HX AI A2XWJG 217TR,3.0,Nvidia GeForce RTX 5090,Windows 11 Pro,96,Intel Core Ultra 9,18.0,6400,Black,msi,605759,6144,2,5,2,2,1,3,2,5,2,4
ACER ASPIRE 3 A315 24P,1.0,AMD Radeon Graphics,FreeDos,8,AMD Ryzen 5,15.6,5500,Silver,acer,14500,512,5,1,4,5,5,3,4,3,5,3
LENOVO IDEAPAD 3,1.5,Intel UHD Graphics,Windows 11 Pro,8,Intel Core i3,15.6,2666,Metallic Grey,lenovo,14799,256,1,5,5,5,4,1,2,4,5,1
MONSTER TULPAR T7 V20 8 2,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,17.3,3200,Black,monster,55888,1024,3,3,1,1,2,2,4,1,4,1
MONSTER ABRA A5 V20 3 2,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,15.6,3200,Black,monster,46999,1024,1,1,5,2,5,2,2,1,5,3
LENOVO IDEAPAD SLIM 3 15IRH8 83EM008NTR,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,38999,1024,4,1,5,5,4,1,3,5,5,4
ASUS ROG STRIX G16 G614JV N3452,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,16.0,4800,Dark Grey,asus,73999,512,3,4,1,5,5,3,2,5,4,5
ASUS VIVOBOOK S 14 FLIP TN3402YA LZ318W P4,1.0,AMD Radeon Graphics,Windows 11 Home,24,AMD Ryzen 5,14.0,3200,Grey,asus,41999,2048,3,3,2,2,3,2,5,1,5,5
LENOVO THINKPAD E14 GEN 6,1.0,Intel Arc Graphics,FreeDos,32,Intel Core Ultra 7,14.0,5600,Black,lenovo,42999,1024,4,3,1,5,4,1,5,3,3,5
MSI VECTOR 16 HX A14VIG 825XTR,3.0,Nvidia GeForce RTX 4090,FreeDos,32,Intel Core i9,16.0,5200,Black,msi,143999,2048,1,2,3,4,3,2,5,3,5,1
HP 250 G9,1.5,Shared,FreeDos,16,Intel Core i5,15.6,3200,Grey,hp,17899,512,5,2,5,2,5,5,4,5,5,2
CASPER EXCALIBUR G770 1265 DXJ0X B,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i7,15.6,3200,Black,casper,37499,2048,5,1,4,4,5,1,2,3,4,1
LENOVO LOQ 15ARP9,3.0,Nvidia GeForce RTX 3050,FreeDos,16,AMD Ryzen 5,15.6,4800,Grey,lenovo,32226,512,3,3,2,3,5,4,5,5,1,3
MSI CYBORG 15,3.0,Nvidia GeForce RTX 4060,Windows 11 Home,32,Intel Core i7,15.6,5200,Black,msi,57593,1024,3,2,3,3,4,1,2,1,4,4
DELL INSPIRON 3520,3.0,Intel UHD Graphics,FreeDos,32,Intel Core i7,15.6,3200,Grey,dell,25120,512,3,5,1,2,1,4,4,5,4,2
DELL VOSTRO 3530,1.0,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i7,15.6,3200,Black,dell,27500,1024,5,5,4,5,5,1,5,5,4,1
LENOVO V15 G4 IRU,1.5,Intel UHD Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Black,lenovo,22399,512,5,3,1,3,5,1,5,5,5,3
MSI KATANA 17,1.5,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i7,17.3,5200,Black,msi,71441,1024,3,2,1,1,2,5,2,1,3,2
CASPER NIRVANA S100 300NIT CORE,1.0,Intel Graphics,FreeDos,16,Intel Core i7,16.0,5600,Titanium Grey,casper,24299,500,1,1,2,2,1,1,4,1,4,4
LENOVO LEGION PRO 7,3.0,Nvidia GeForce RTX 4090,Windows 11 Home,32,Intel Core i9,16.0,5600,Black,lenovo,141999,1024,4,2,3,5,3,5,2,5,2,2
LENOVO V15 G4 82YY0012TR,1.5,Shared,FreeDos,8,AMD Ryzen 7,15.6,3200,Black,lenovo,16305,512,1,3,4,3,5,1,4,4,1,2
DELL VOSTRO 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Dark Grey,dell,19799,512,2,1,5,1,5,4,2,5,4,5
ACER NITRO 5 ANV15 51,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,16,Intel Core i5,15.6,5600,Black,acer,35999,1024,4,1,4,5,2,4,1,5,4,3
LENOVO V15 G3 ABA,1.0,AMD Radeon Graphics,Windows 11 Home,16,AMD Ryzen 7,15.6,3200,Black,lenovo,20799,512,1,3,5,5,4,2,5,3,5,4
HP 250 G10 8A538EATK06,1.5,Intel Iris Xe Graphics,Windows 11 Pro,16,Intel Core i5,15.6,3200,Grey,hp,21582,512,5,3,4,3,1,1,5,3,2,2
ASUS TUF GAMING F15 FX507ZC4A36 HN205A36,3.0,Nvidia GeForce RTX 3050,Windows 11 Home,16,12500H,15.6,3200,Black,asus,44059,4096,1,5,5,3,2,2,5,5,3,2
ASUS EXPERTBOOK P1 P1503,1.0,Intel UHD Graphics,FreeDos,32,Intel Core i7,15.6,5600,Metallic Grey,asus,39983,1024,1,1,4,1,5,5,4,5,3,3
LENOVO IDEAPAD SLIM 5,1.5,Intel Arc Graphics,FreeDos,16,Intel Core Ultra 5,14.0,7467,Grey,lenovo,32900,512,1,2,2,1,1,1,5,2,1,1
LENOVO THINKBOOK 16 21KH001ETR I5 1335U 16GB 512GB SSD O B,1.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i5,16.0,5200,Grey,lenovo,26299,512,2,4,2,5,5,2,4,5,1,3
LENOVO V15 G4 IRU 83A100A5TR,1.0,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,3200,Black,lenovo,19528,512,3,4,2,2,5,5,5,3,1,4
LENOVO THINKBOOK 14 G6 IRL 21KG004NTRV3,3.0,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,14.0,5200,Grey,lenovo,37301,1024,4,4,4,1,5,1,2,3,5,4
CASPER EXCALIBUR G870 1245 BFB0X B,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,41858,1024,5,2,5,3,5,1,5,2,5,1
DELL INSPIRON 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i7,15.6,3200,Black,dell,25969,1024,1,2,3,2,5,5,3,4,1,5
LENOVO THINKBOOK 14 G6 IRL 21KG004NTRV5,3.0,Intel Iris Xe Graphics,FreeDos,32,Intel Core i7,14.0,5200,Grey,lenovo,42630,1024,4,3,4,5,5,1,4,4,3,1
ASUS VIVOBOOK X1502ZA EJ106602,1.5,Intel UHD Graphics,FreeDos,24,Intel Core i5,15.6,3200,Blue,asus,22799,1024,4,5,3,3,3,2,3,5,5,3
LENOVO IDEAPAD SLIM 3,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,37999,512,1,3,1,2,1,3,5,5,5,5
LENOVO V15 G3 IAP 82TT00A4TX,1.0,Shared,FreeDos,16,Intel Core i3,15.6,3200,Black,lenovo,14199,512,4,1,1,5,1,2,5,4,1,3
LENOVO THINKPAD E14 GEN 5,1.5,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 5,14.0,3200,Black,lenovo,24400,512,2,3,1,5,1,2,3,4,4,1
DELL VOSTRO 3510,1.0,Intel UHD Graphics,Ubuntu,8,Intel Core i5,15.6,3200,Black,dell,20456,256,5,1,5,4,1,1,4,5,5,5
MONSTER TULPAR T6 V3 1 5,3.0,Nvidia GeForce RTX 4060,Windows 11 Home,32,Intel Core i7,16.0,4800,Black,monster,60899,1024,4,1,3,5,3,5,5,1,4,4
DELL VOSTRO 3520,1.5,Intel Iris Xe Graphics,Windows 11 Pro,32,Intel Core i5,15.6,3200,Black,dell,25799,1024,5,5,3,5,5,5,2,2,4,1
ACER NITRO V 15 ANV15 51,3.0,Nvidia GeForce RTX 4050,Windows 11 Pro,64,Intel Core i7,15.6,5600,Black,acer,54999,1024,1,4,1,5,5,1,4,3,4,1
